product_title,price_sgd,sold_30d,rating,url,platform,seen_at
Lattafa Khamrah EDP 100ml,49.53,230,4.12,https://lazada.sg/lattafa-khamrah-edp-100ml,Lazada,2026-06-08
Lattafa Khamrah EDP 100ml,47.37,234,4.12,https://lazada.sg/lattafa-khamrah-edp-100ml,Lazada,2026-06-15
Lattafa Khamrah EDP 100ml,47.34,252,4.12,https://lazada.sg/lattafa-khamrah-edp-100ml,Lazada,2026-06-22
Lattafa Khamrah EDP 100ml,48.47,222,4.12,https://lazada.sg/lattafa-khamrah-edp-100ml,Lazada,2026-06-29
Lattafa Khamrah EDP 100ml [SG Stock],45.85,121,4.34,https://shopee.sg/lattafa-khamrah-edp-100ml,Shopee,2026-06-08
Lattafa Khamrah EDP 100ml [SG Stock],44.96,171,4.34,https://shopee.sg/lattafa-khamrah-edp-100ml,Shopee,2026-06-15
Lattafa Khamrah EDP 100ml [SG Stock],47.86,156,4.34,https://shopee.sg/lattafa-khamrah-edp-100ml,Shopee,2026-06-22
Lattafa Khamrah EDP 100ml [SG Stock],45.5,172,4.34,https://shopee.sg/lattafa-khamrah-edp-100ml,Shopee,2026-06-29
Lattafa Asad EDP 100ml Original,46.51,321,4.18,https://lazada.sg/lattafa-asad-edp-100ml,Lazada,2026-06-08
Lattafa Asad EDP 100ml Original,44.01,301,4.18,https://lazada.sg/lattafa-asad-edp-100ml,Lazada,2026-06-15
Lattafa Asad EDP 100ml Original,45.35,284,4.18,https://lazada.sg/lattafa-asad-edp-100ml,Lazada,2026-06-22
Lattafa Asad EDP 100ml Original,46.34,360,4.18,https://lazada.sg/lattafa-asad-edp-100ml,Lazada,2026-06-29
Lattafa Asad EDP 100ml [SG Stock],43.36,266,4.45,https://shopee.sg/lattafa-asad-edp-100ml,Shopee,2026-06-08
Lattafa Asad EDP 100ml [SG Stock],43.43,215,4.45,https://shopee.sg/lattafa-asad-edp-100ml,Shopee,2026-06-15
Lattafa Asad EDP 100ml [SG Stock],42.64,210,4.45,https://shopee.sg/lattafa-asad-edp-100ml,Shopee,2026-06-22
Lattafa Asad EDP 100ml [SG Stock],42.9,240,4.45,https://shopee.sg/lattafa-asad-edp-100ml,Shopee,2026-06-29
Lattafa Yara EDP 100ml Original,34.05,150,4.24,https://shopee.sg/lattafa-yara-edp-100ml,Shopee,2026-06-08
Lattafa Yara EDP 100ml Original,34.08,129,4.24,https://shopee.sg/lattafa-yara-edp-100ml,Shopee,2026-06-15
Lattafa Yara EDP 100ml Original,35.06,158,4.24,https://shopee.sg/lattafa-yara-edp-100ml,Shopee,2026-06-22
Lattafa Yara EDP 100ml Original,34.59,133,4.24,https://shopee.sg/lattafa-yara-edp-100ml,Shopee,2026-06-29
Lattafa Yara EDP 100ml [SG Stock],36.76,389,4.49,https://lazada.sg/lattafa-yara-edp-100ml,Lazada,2026-06-08
Lattafa Yara EDP 100ml [SG Stock],35.45,343,4.49,https://lazada.sg/lattafa-yara-edp-100ml,Lazada,2026-06-15
Lattafa Yara EDP 100ml [SG Stock],35.05,382,4.49,https://lazada.sg/lattafa-yara-edp-100ml,Lazada,2026-06-22
Lattafa Yara EDP 100ml [SG Stock],35.35,306,4.49,https://lazada.sg/lattafa-yara-edp-100ml,Lazada,2026-06-29
Lattafa Raghba EDP 100ml,29.7,84,4.54,https://lazada.sg/lattafa-raghba-edp-100ml,Lazada,2026-06-08
Lattafa Raghba EDP 100ml,30.12,84,4.54,https://lazada.sg/lattafa-raghba-edp-100ml,Lazada,2026-06-15
Lattafa Raghba EDP 100ml,31.2,87,4.54,https://lazada.sg/lattafa-raghba-edp-100ml,Lazada,2026-06-22
